Year,Geography,Industry,Wage rates,Value
2011,Northern region,Forestry and Logging,Median weekly wage rate,900.00
2012,Northern region,Forestry and Logging,Median weekly wage rate,0.00
2013,Northern region,Forestry and Logging,Median weekly wage rate,0.00
2014,Northern region,Forestry and Logging,Median weekly wage rate,0.00
2015,Northern region,Forestry and Logging,Median weekly wage rate,0.00
2001,Northern region,"Fishing, Hunting and Trapping",Total employees,-
2002,Northern region,"Fishing, Hunting and Trapping",Total employees,-
2003,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2004,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2005,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2006,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2007,Northern region,"Fishing, Hunting and Trapping",Total employees,-
2008,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2009,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2010,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2011,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2012,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2013,Northern region,"Fishing, Hunting and Trapping",Total employees,-
2014,Northern region,"Fishing, Hunting and Trapping",Total employees,-
2015,Northern region,"Fishing, Hunting and Trapping",Total employees,0.0
2001,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,-
2002,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,-
2003,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2004,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2005,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2006,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2007,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,-
2008,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2009,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2010,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2011,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2012,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2013,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,-
2014,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,-
2015,Northern region,"Fishing, Hunting and Trapping",Average hourly wage rate,0.00
2001,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,-
2002,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,-
2003,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2004,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2005,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2006,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2007,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,-
2008,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2009,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2010,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2011,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2012,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2013,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,-
2014,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,-
2015,Northern region,"Fishing, Hunting and Trapping",Average weekly wage rate,0.00
2001,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,-
2002,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,-
2003,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2004,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2005,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2006,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2007,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,-
2008,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2009,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2010,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2011,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2012,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2013,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,-
2014,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,-
2015,Northern region,"Fishing, Hunting and Trapping",Median hourly wage rate,0.00
2001,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,-
2002,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,-
2003,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2004,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2005,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2006,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2007,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,-
2008,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2009,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2010,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2011,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2012,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2013,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,-
2014,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,-
2015,Northern region,"Fishing, Hunting and Trapping",Median weekly wage rate,0.00
2001,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2002,Northern region,Support Activities for Agriculture and Forestry,Total employees,2.1
2003,Northern region,Support Activities for Agriculture and Forestry,Total employees,1.5
2004,Northern region,Support Activities for Agriculture and Forestry,Total employees,1.9
2005,Northern region,Support Activities for Agriculture and Forestry,Total employees,2.3
2006,Northern region,Support Activities for Agriculture and Forestry,Total employees,2.1
2007,Northern region,Support Activities for Agriculture and Forestry,Total employees,1.6
2008,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2009,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2010,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2011,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2012,Northern region,Support Activities for Agriculture and Forestry,Total employees,2.3
2013,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2014,Northern region,Support Activities for Agriculture and Forestry,Total employees,1.6
2015,Northern region,Support Activities for Agriculture and Forestry,Total employees,0.0
2001,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2002,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,19.00
2003,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,23.17
2004,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,23.26
2005,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,20.92
2006,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,21.74
2007,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,22.28
2008,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2009,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2010,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2011,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2012,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,24.12
2013,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2014,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,30.48
2015,Northern region,Support Activities for Agriculture and Forestry,Average hourly wage rate,0.00
2001,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2002,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,805.33
2003,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,929.27
2004,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,948.55
2005,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,835.95
2006,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,915.39
2007,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,875.35
2008,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2009,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2010,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2011,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2012,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,1017.00
2013,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2014,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,1236.63
2015,Northern region,Support Activities for Agriculture and Forestry,Average weekly wage rate,0.00
2001,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2002,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,19.00
2003,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,24.00
2004,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,24.00
2005,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,19.23
2006,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,21.00
2007,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,20.00
2008,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2009,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2010,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2011,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2012,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,25.00
2013,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2014,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,27.88
2015,Northern region,Support Activities for Agriculture and Forestry,Median hourly wage rate,0.00
2001,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2002,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,760.00
2003,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,960.00
2004,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,960.00
2005,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,807.60
2006,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,904.00
2007,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,800.00
2008,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2009,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2010,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2011,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2012,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,960.00
2013,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2014,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,1209.88
2015,Northern region,Support Activities for Agriculture and Forestry,Median weekly wage rate,0.00
2001,Northern region,Mining (N.E.C.),Total employees,0.0
2002,Northern region,Mining (N.E.C.),Total employees,0.0
2003,Northern region,Mining (N.E.C.),Total employees,0.0
2004,Northern region,Mining (N.E.C.),Total employees,0.0
2005,Northern region,Mining (N.E.C.),Total employees,0.0
2006,Northern region,Mining (N.E.C.),Total employees,0.0
2007,Northern region,Mining (N.E.C.),Total employees,1.6
2008,Northern region,Mining (N.E.C.),Total employees,0.0
2009,Northern region,Mining (N.E.C.),Total employees,0.0
2010,Northern region,Mining (N.E.C.),Total employees,0.0
2011,Northern region,Mining (N.E.C.),Total employees,2.3
2012,Northern region,Mining (N.E.C.),Total employees,2.4
2013,Northern region,Mining (N.E.C.),Total employees,1.5
2014,Northern region,Mining (N.E.C.),Total employees,0.0
2015,Northern region,Mining (N.E.C.),Total employees,0.0
2001,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2002,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2003,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2004,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2005,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2006,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2007,Northern region,Mining (N.E.C.),Average hourly wage rate,28.21
2008,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2009,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2010,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2011,Northern region,Mining (N.E.C.),Average hourly wage rate,27.62
2012,Northern region,Mining (N.E.C.),Average hourly wage rate,30.75
2013,Northern region,Mining (N.E.C.),Average hourly wage rate,31.37
2014,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2015,Northern region,Mining (N.E.C.),Average hourly wage rate,0.00
2001,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2002,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2003,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2004,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2005,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2006,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2007,Northern region,Mining (N.E.C.),Average weekly wage rate,1149.58
2008,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2009,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2010,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2011,Northern region,Mining (N.E.C.),Average weekly wage rate,1292.94
2012,Northern region,Mining (N.E.C.),Average weekly wage rate,1337.10
2013,Northern region,Mining (N.E.C.),Average weekly wage rate,1370.37
2014,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2015,Northern region,Mining (N.E.C.),Average weekly wage rate,0.00
2001,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2002,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2003,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2004,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2005,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2006,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2007,Northern region,Mining (N.E.C.),Median hourly wage rate,26.80
2008,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2009,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2010,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2011,Northern region,Mining (N.E.C.),Median hourly wage rate,29.00
2012,Northern region,Mining (N.E.C.),Median hourly wage rate,30.00
2013,Northern region,Mining (N.E.C.),Median hourly wage rate,30.50
2014,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2015,Northern region,Mining (N.E.C.),Median hourly wage rate,0.00
2001,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2002,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2003,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2004,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2005,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2006,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2007,Northern region,Mining (N.E.C.),Median weekly wage rate,1057.60
2008,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2009,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2010,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2011,Northern region,Mining (N.E.C.),Median weekly wage rate,1200.00
2012,Northern region,Mining (N.E.C.),Median weekly wage rate,1260.00
2013,Northern region,Mining (N.E.C.),Median weekly wage rate,1400.00
2014,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2015,Northern region,Mining (N.E.C.),Median weekly wage rate,0.00
2001,Northern region,Oil and Gas Extraction,Total employees,0.0
2002,Northern region,Oil and Gas Extraction,Total employees,0.0
2003,Northern region,Oil and Gas Extraction,Total employees,0.0
2004,Northern region,Oil and Gas Extraction,Total employees,0.0
2005,Northern region,Oil and Gas Extraction,Total employees,0.0
2006,Northern region,Oil and Gas Extraction,Total employees,0.0
2007,Northern region,Oil and Gas Extraction,Total employees,0.0
2008,Northern region,Oil and Gas Extraction,Total employees,0.0
2009,Northern region,Oil and Gas Extraction,Total employees,0.0
2010,Northern region,Oil and Gas Extraction,Total employees,0.0
2011,Northern region,Oil and Gas Extraction,Total employees,0.0
2012,Northern region,Oil and Gas Extraction,Total employees,0.0
2013,Northern region,Oil and Gas Extraction,Total employees,0.0
2014,Northern region,Oil and Gas Extraction,Total employees,0.0
2015,Northern region,Oil and Gas Extraction,Total employees,0.0
2001,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2002,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2003,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2004,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2005,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2006,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2007,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2008,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2009,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2010,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2011,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2012,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2013,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2014,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2015,Northern region,Oil and Gas Extraction,Average hourly wage rate,0.00
2001,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2002,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2003,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2004,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2005,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2006,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2007,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2008,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2009,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2010,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2011,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2012,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2013,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2014,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2015,Northern region,Oil and Gas Extraction,Average weekly wage rate,0.00
2001,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2002,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2003,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2004,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2005,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2006,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2007,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2008,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2009,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2010,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2011,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2012,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2013,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2014,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2015,Northern region,Oil and Gas Extraction,Median hourly wage rate,0.00
2001,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2002,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2003,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2004,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2005,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2006,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2007,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2008,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2009,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2010,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2011,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2012,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2013,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2014,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2015,Northern region,Oil and Gas Extraction,Median weekly wage rate,0.00
2001,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,13.9
2002,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,14.7
2003,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,12.6
2004,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,9.7
2005,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,8.6
2006,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,11.3
2007,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,11.8
2008,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,13.8
2009,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,10.6
2010,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,11.7
2011,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,12.9
2012,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,9.2
2013,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,9.9
2014,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,10.4
2015,Northern region,Mining and Quarrying (except Oil and Gas),Total employees,14.1
2001,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,25.83
2002,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,25.86
2003,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,26.61
2004,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,25.74
2005,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,27.56
2006,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,26.24
2007,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,27.81
2008,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,29.09
2009,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,29.46
2010,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,29.70
2011,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,31.95
2012,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,31.28
2013,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,32.33
2014,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,32.95
2015,Northern region,Mining and Quarrying (except Oil and Gas),Average hourly wage rate,33.42
2001,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1072.70
2002,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1073.63
2003,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1112.34
2004,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1074.81
2005,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1176.95
2006,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1114.75
2007,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1181.32
2008,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1217.87
2009,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1258.89
2010,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1287.61
2011,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1410.35
2012,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1362.52
2013,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1386.02
2014,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1419.44
2015,Northern region,Mining and Quarrying (except Oil and Gas),Average weekly wage rate,1469.30
2001,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,25.00
2002,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,25.00
2003,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,25.73
2004,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,25.00
2005,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,26.96
2006,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,25.83
2007,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,27.00
2008,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,28.05
2009,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,28.35
2010,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,29.84
2011,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,30.00
2012,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,30.42
2013,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,31.00
2014,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,32.00
2015,Northern region,Mining and Quarrying (except Oil and Gas),Median hourly wage rate,32.03
2001,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1000.00
2002,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1018.00
2003,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1040.00
2004,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1025.60
2005,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1096.00
2006,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1100.00
2007,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1102.60
2008,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1160.00
2009,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1200.00
2010,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1223.20
2011,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1250.00
2012,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1280.00
2013,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1276.00
2014,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1320.00
2015,Northern region,Mining and Quarrying (except Oil and Gas),Median weekly wage rate,1346.10
2001,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,0.0
2002,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,0.0
2003,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,1.7
2004,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.0
2005,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.3
2006,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.5
2007,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.6
2008,Northern region,Support Activities for Mining and Oil and Gas Extraction,Total employees,3.6
